IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
250;Штаны Цветочная Поляна;green;;M;100;31.97
365;Футболка Мужская Чистота;white;;M;100;11.62
361;Футболка Мужская Чистота;white;;L;100;11.62
390;Футболка Мужской Огонь;red;;XL;100;11.32
330;Нижнее белье Ночь Морозных Узоров;black;;S;100;21.21
614;Ремень Элегантность;brown;;XL;100;10.61
433;Спортивный Костюм Элегантность в Ночи;black;;XL;100;36.78
630;Ремень Плетение;red;;L;100;10.9
379;Футболка Женская Ночь;black;;L;100;11.03
481;Домашние Тапочки Любимый Спорт;brown;38.0;;100;14.52
255;Платье Модница на Прогулке;blue;;L;100;72.67
509;Пантолеты Кости на Пляже;black;39.0;;100;13.07
202;Штаны Полосатый Рейс;blue;;XL;100;29.06
536;Туфли Ультра Лайн;red;35.0;;100;40.69
499;Туфли Вечерняя Бабочка;purple;38.0;;100;43.6
632;Ремень Плетение;red;;XL;100;10.9
375;Футболка Женская Чистота;white;;S;100;10.89
212;Штаны Жизнь в Абстракции;redblue;;XS;100;27.61
235;Штаны Цветочная Поляна;white;;XS;100;31.97
449;Спортивный Костюм Дыхание Спорта;white;;L;100;38.23
612;Ремень Элегантность;brown;;L;100;10.61
608;Ремень Класика;black;;S;100;17.3
624;Ремень Строчка;brown;;XS;100;11.62
266;Платье Весенняя Легкость;purple;;XL;100;43.6
319;Нижнее белье Интимный Вечер;black;;XS;100;17.43
417;Спортивный Костюм Огонь в Ночи;black;;XL;100;36.33
214;Штаны Жизнь в Абстракции;redblue;;S;100;27.61
531;Туфли Ультра Лайн;white;36.0;;100;40.69
566;Ремень Радуга;see;;L;100;5.67
237;Штаны Цветочная Поляна;white;;S;100;31.97
591;Ремень Радуга;brown;;M;100;5.67
623;Ремень Строчка;brown;;XL;100;11.62
388;Футболка Мужской Огонь;red;;L;100;11.32
277;Платье Ночная Жизнь;black;;M;100;65.4
200;Штаны Полосатый Рейс;blue;;L;100;29.06
599;Ремень Радуга;green;;S;100;5.67
193;Штаны Полосатый Рейс;brown;;L;100;29.06
382;Футболка Женская Ночь;black;;XS;100;11.03
328;Нижнее белье Ночь Морозных Узоров;black;;XS;100;21.21
305;Нижнее белье Белая Свобода;white;;S;100;20.34
286;Платье Красная Фея;red;;M;99;58.13
190;Штаны Полосатый Рейс;green;;M;99;29.06
641;Ремень Грубая Кожа;brown;;XL;100;10.39
309;Нижнее белье Интимный Вечер;white;;L;100;15.98
401;Футболка Женский Соблазн;white;;M;100;12.34
550;Туфли Ультра Лайн;brown;35.0;;100;40.69
246;Штаны Цветочная Поляна;green;;L;100;31.97
420;Спортивный Костюм Огонь в Ночи;black;;S;100;36.33
197;Штаны Полосатый Рейс;brown;;M;100;29.06
488;Туфли Летняя Легкость;white;36.0;;100;29.06
533;Туфли Ультра Лайн;white;38.0;;100;40.69
239;Штаны Цветочная Поляна;red;;L;100;31.97
440;Спортивный Костюм Розовый Вихрь;pink;;L;100;37.36
260;Платье Модница на Прогулке;blue;;S;0;72.67
553;Туфли Ультра Лайн;brown;37.0;;100;40.69
397;Футболка Женский Соблазн;white;;L;100;12.34
621;Ремень Строчка;brown;;L;100;11.62
218;Штаны Жизнь в Абстракции;orangered;;XL;100;27.61
285;Платье Красная Фея;red;;XS;100;58.13
191;Штаны Полосатый Рейс;green;;S;100;29.06
334;Нижнее белье Огонек в Ночи;black;;L;100;21.79
294;Нижнее белье Морская Волна;see;;XS;100;18.88
546;Туфли Ультра Лайн;flowers;37.0;;100;40.69
644;Ремень Грубая Кожа;brown;;S;100;10.39
498;Туфли Вечерняя Бабочка;purple;37.0;;100;43.6
516;Туфли Полет Валькирии;blue;37.0;;100;36.33
559;Ремень Радуга;purple;;L;100;5.67
526;Туфли Ультра Лайн;jeans;38.0;;100;40.69
442;Спортивный Костюм Розовый Вихрь;pink;;XL;100;37.36
461;Спортивный Костюм Вечерний Спорт;white;;XS;100;39.24
554;Туфли Ультра Лайн;brown;38.0;;100;40.69
184;Штаны Полосатый Рейс;purple;;S;100;29.06
617;Ремень Элегантность;brown;;S;100;10.61
411;Спортивный Костюм Нежная Теплота;azure;;S;100;33.87
444;Спортивный Костюм Розовый Вихрь;pink;;M;100;37.36
508;Пантолеты Кости на Пляже;black;38.0;;100;13.07
590;Ремень Радуга;brown;;XS;100;5.67
243;Штаны Цветочная Поляна;red;;M;100;31.97
221;Штаны Жизнь в Абстракции;orangered;;S;99;27.61
182;Штаны Полосатый Рейс;purple;;XS;100;29.06
585;Ремень Радуга;blue;;S;100;5.67
577;Ремень Радуга;pink;;M;100;5.67
295;Нижнее белье Морская Волна;see;;M;100;18.88
477;Домашние Тапочки Любимый Спорт;brown;35.0;;100;14.52
373;Футболка Женская Чистота;white;;XS;100;10.89
381;Футболка Женская Ночь;black;;XL;100;11.03
633;Ремень Плетение;red;;XS;100;10.9
248;Штаны Цветочная Поляна;green;;XL;100;31.97
471;Домашние Тапочки Розовый Рай;pink;38.0;;100;17.43
597;Ремень Радуга;green;;XS;100;5.67
236;Штаны Цветочная Поляна;white;;M;100;31.97
540;Туфли Ультра Лайн;red;38.0;;100;40.69
642;Ремень Грубая Кожа;brown;;XS;100;10.39
312;Нижнее белье Интимный Вечер;white;;XS;100;15.98
198;Штаны Полосатый Рейс;brown;;S;100;29.06
